,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
225,Solomon & Gaenor,Paul Morrison,Paul Morrison,Sheryl Crown,"['Ioan Gruffudd', 'Nia Roberts', 'Sue Jones-Davies', 'William Thomas', 'Mark Lewis Jones', 'Maureen Lipman', 'David Horovitch']",Nina Kellgren,Kant Pan,Ilona Sekacz,FilmFour Distributors,['30 April 1999'],105 min.,United Kingdom,,105,1999-04-30,,,,,,,,,,,,"$165,485",,,"['Welsh', 'English', 'Yiddish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Under the Sun,Colin Nutley,"['H. E. Bates (novel)', 'Johanna Hald']",,"['Rolf Lassgård', 'Helena Bergström', 'Johan Widerberg']",,,,AB Svensk Filmindustri,['25 December 1998 (Sweden)'],118 minutes,Sweden,Swedish,118,1998-12-25,7.0,N/A,,"A nineteen-year-old British woman decides to travel around the world, but doesn't get any further than Spain.",Drama,1 nomination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"Crouching Tiger, Hidden Dragon",Ang Lee,,"['Bill Kong', 'Hsu Li-kong', 'Ang Lee']","['Chow Yun-fat', 'Michelle Yeoh', 'Zhang Ziyi', 'Chang Chen', 'Sihung Lung', 'Cheng Pei-pei']",Peter Pau,Tim Squyres,Tan Dun,"['Sony Pictures Classics (North America)', 'Columbia TriStar Film Distributors International (International)']","['May 18, 2000 ( Cannes )', 'July 7, 2000 (Taiwan)', 'July 8, 2000 (Mainland China)', 'July 13, 2000 (Hong Kong)', 'December 8, 2000 (United States)']",120 minutes,,Mandarin,120,2000-05-18,6.1,47,20%,"A story of lost love, young love, a legendary sword and one last opportunity at redemption.","Action, Adventure, Drama",1 win & 1 nomination,"['Wang Hui-ling', 'James Schamus', 'Kuo Jung Tsai']",,"['Crouching Tiger, Hidden Dragon', 'by', 'Wang Dulu']",,US$17 million,US$213.5 million,"['Columbia Pictures Film Production Asia', 'Good Machine International', 'Edko Films', 'Zoom Hunt Productions', 'China Film Co-Production Corp.', 'Asian Union Film & Entertainment Ltd.']","['Taiwan', 'China', 'Hong Kong', 'United States']",,,,,,,,,,,,,Wò hǔ cáng lóng,,,,,,,,,,,,,,,,
228,Amores perros,Alejandro González Iñárritu,,Alejandro González Iñárritu,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo', 'Álvaro Guerrero', 'Vanessa Bauche', 'Jorge Salinas', 'Adriana Barraza']",Rodrigo Prieto,"['Alejandro González Iñárritu', 'Luis Carballar', 'Fernando Pérez Unda']",Gustavo Santaolalla,Nu Vision,"['14 May 2000 ( Cannes )', '16 June 2000 (Mexico)']",153 minutes,Mexico,Spanish,153,2000-05-14,8.1,83,93%,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama, Thriller",Nominated for 1 Oscar. 55 wins & 25 nominations total,Guillermo Arriaga,"['Alejandro González Iñárritu', 'Guillermo Arriaga']",,,$2.4 million,$20.9 million,"['Zeta Entertainment', 'Alta Vista Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Divided We Fall,Jan Hřebejk,"['Jan Hřebejk', 'Petr Jarchovský']","['Pavel Borovan', 'Ondřej Trojan']","['Bolek Polívka', 'Anna Šišková', 'Csongor Kassai']",Jan Malír,Vladimír Barák,Ales Brezina,,"['Czech Republic:', '16 March 2000', 'United States:', '8 June 2001', 'United Kingdom:', '31 May 2002']",123 min.,Czech Republic,,123,,7.8,N/A,,The story depicts two brothers who fight on opposites sides in the U.S. Civil War and end up meeting in battle.,"Short, War",3 wins,,,,,,"$1,830,938 (worldwide)",,,"['Czech', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Everybody's Famous!,Dominique Deruddere,Dominique Deruddere,Dominique Deruddere,"['Josse De Pauw', 'Eva Van Der Gucht', 'Werner De Smedt', 'Thekla Reuten', 'Victor Löw']",,Ludo Troch,,Miramax Films,['12 April 2000'],97 minutes,Belgium,,97,2000-04-12,,,,,,,,,,,,,,,"Flemish, Spanish, English",,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,The Taste of Others,Agnès Jaoui,"['Agnès Jaoui', 'Jean-Pierre Bacri']","['Christian Bérard', 'Charles Gassot', 'Jacques Hinstin']","['Anne Alvaro', 'Jean-Pierre Bacri', 'Alain Chabat', 'Agnès Jaoui', 'Gérard Lanvin', 'Christiane Millet', 'Wladimir Yordanoff']",Laurent Dailland,Hervé de Luze,Jean-Charles Jarrel,Pathé,['1 March 2000'],112 minutes,France,French,112,2000-03-01,N/A,N/A,,Boy Meets Girl. Not. Boy meets girl's feet.,"Short, Drama",N/A,,,,,$10.2 million,$23.6 million,,,,,,,,Le goût des autres,,,,,,,,,,,,,,,,,,,,,,,
232,No Man's Land,Danis Tanović,Danis Tanović,"['Cédomir Kolar', 'Marc Baschet', 'Frédérique Dumas-Zajdela']","['Branko Đurić', 'Rene Bitorajac', 'Filip Šovagović']",Walther Vanden Ende,Francesca Calvelli,Danis Tanović,"['Océan Films', 'Rai Cinema', 'Momentum Pictures']","['19 September 2001 (France)', '28 September 2001 (Italy)', '10 October 2001 (Belgium)', '6 November 2001 (Slovenia)', '17 May 2002 (United Kingdom)']",98 minutes,,,98,2001-09-19,7.9,84,93%,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a","Comedy, Drama, War",Won 1 Oscar. 29 wins & 25 nominations total,,,,,€2 million,"$4,858,869","['Fabrica', ""Man's Films"", 'Studio Maj']","['Bosnia and Herzegovina', 'France', 'Slovenia', 'Italy', 'United Kingdom', 'Belgium']","['Serbo-Croatian', 'English', 'French', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Amélie,Jean-Pierre Jeunet,,"['Jean-Marc Deschamps', 'Claudie Ossard']","['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta', 'Serge Merlin', 'Jamel Debbouze', 'Claire Maurier', 'Clotilde Mollet', 'Isabelle Nanty', 'Dominique Pinon', 'Artus de Penguern', 'Yolande Moreau', 'Urbain Cancelier', 'Maurice Bénichou']",Bruno Delbonnel,Hervé Schneid,Yann Tiersen,"['UGC-Fox Distribution (France)', 'Prokino Filmverleih (Germany)']","['25 April 2001 (France)', '16 August 2001 (Germany)']",123 minutes,,French,123,2001-04-25,N/A,N/A,,N/A,"Short, Drama",N/A,Guillaume Laurant,"['Guillaume Laurant', 'Jean-Pierre Jeunet']",,,$10 million,$174.2 million,"['Claudie Ossard Productions', 'UGC', 'Victoires Productions', 'Tapioca Films', 'France 3 Cinéma', 'MMC Independent', 'Sofica Sofinergie 5', 'Filmstiftung', 'Canal+', 'France 3 Cinéma']","['France', 'Germany']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Elling,Petter Næss,"['Ingvar Ambjørnsen', '(novel', 'Brødre i blodet', ')', 'Axel Hellstenius']",,"['Per Christian Ellefsen', 'Sven Nordin', 'Marit Pia Jacobsen', 'Jørgen Langhelle', 'Per Christensen', 'Hilde Olausson', 'Ola Otnes', 'Eli Anne Linnestad', 'Cecilie A. Mosli', 'Joachim Rafaelsen', 'Per Gørvell', 'Knud Dahl', 'Knut Haugmark']",Svein Krøvel,Inge-Lise Langfeldt,Lars Lillo-Stenberg,,"['16 March 2001 (Norway)', '19 April 2002 (U.S.)']",89 minutes,Norway,Norwegian,89,2001-03-16,7.5,70,85%,"When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and female-obsessed virgin in his 40s. After tw","Comedy, Drama",Nominated for 1 Oscar. 14 wins & 5 nominations total,,,,,,"750,000 admissions (Norway)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Lagaan,Ashutosh Gowariker,,Aamir Khan,"['Aamir Khan', 'Gracy Singh', 'Rachel Shelley', 'Paul Blackthorne']",Anil Mehta,Ballu Saluja,A. R. Rahman,SET Pictures,['15 June 2001'],224 minutes,India,,224,2001-06-15,8.1,84,95%,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Drama, Musical, Sport",Nominated for 1 Oscar. 54 wins & 20 nominations total,"['Ashutosh Gowariker', 'Kumar Dave', 'Sanjay Dayma']",Ashutosh Gowariker,,Aamir Khan Productions,25 crore,est. 65.97 crore ( see below ),,,"['Hindi', 'Bhojpuri', 'Urdu', 'English', 'Awadhi', 'Punjabi']",Amitabh Bachchan,,,,,,,,,,,,"['K. P. Saxena', '(Hindi)', 'Ashutosh Gowariker', '(English)']",,,,,,,,,,,,,,,
236,Son of the Bride,Juan José Campanella,"['Juan José Campanella', 'Fernando Castets']",Adrián Suar,"['Ricardo Darín', 'Héctor Alterio', 'Norma Aleandro', 'Eduardo Blanco', 'Natalia Verbeke']",Daniel Shulman,Camilo Antolini,Ángel Illaramendi,"['Buena Vista Pictures Distribution', 'Sony Pictures Classics']","['August 16, 2001 (Argentina)']",123 minutes,Argentina,Spanish,123,2001-08-16,N/A,N/A,,N/A,Comedy,N/A,,,,,,"$8,597,323","['Patagonik Film Group', 'Pol-ka', 'Buena Vista International']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Nowhere in Africa,Caroline Link,,Peter Herrmann,"['Juliane Köhler', 'Merab Ninidze']",Gernot Roll,Patricia Rommel,Niki Reiser,Constantin Film,27 December 2001,141 minutes,Germany,,141,2001-12-27,,,,,,,Caroline Link,,"['Nirgendwo in Afrika', 'by', 'Stefanie Zweig']",,€ 7 million,"$24,352,725",,,"['German', 'English', 'Swahili']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,The Crime of Padre Amaro,Carlos Carrera,Vicente Leñero,"['Daniel Birman Ripstein', 'Alfredo Ripstein']","['Gael García Bernal', 'Ana Claudia Talancón']",Guillermo Granillo,Óscar Figueroa,Rosino Serrano,Samuel Goldwyn Films (USA) (theatrical),"['16 August 2002 (Mexico)', '8 November 2002 (Spain)']",118 minutes,,Spanish,118,2002-08-16,,,,,,,,,"['O Crime do Padre Amaro', 'by', 'Eça de Queiroz']",,$1.8 million,$27 million,"['Almeda Films', 'Blu Films', 'Wanda Films']","['Mexico', 'Spain']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Hero,Zhang Yimou,"['Feng Li', 'Bin Wang', 'Zhang Yimou']",Zhang Yimou,"['Jet Li', 'Tony Leung', 'Maggie Cheung', 'Chen Daoming', 'Zhang Ziyi', 'Donnie Yen']",Christopher Doyle,Angie Lam,Tan Dun,Beijing New Picture Film,"['24 October 2002 (China)', '21 December 2002 (Hong Kong)']",99 minutes,China,Mandarin,99,2002-10-24,6.5,N/A,67%,"A not-so-nice man rescues passengers from a crashed airliner, only to see someone else take credit.","Comedy, Drama, Romance",N/A,,,,,$31 million,$177.4 million,"['Sil-Metropole Organisation', 'CFCC', 'Elite Group Enterprises', 'Zhang Yimou Studio', 'Beijing New Picture Film']",,,,,,,,,,,,,,Yīngxióng,,,,,,,,,,,,,,,,
240,The Man Without a Past,Aki Kaurismäki,Aki Kaurismäki,Aki Kaurismäki,"['Markku Peltola', 'Kati Outinen', 'Juhani Niemelä']",Timo Salminen,Timo Linnasalo,Leevi Madetoja,,['1 March 2002'],97 minutes,Finland,Finnish,97,2002-03-01,,,,,,,,,,,"€1,206,000","$9,564,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Zus & Zo,Paula van der Oest,,Jacqueline de Goeij,"['Monic Hendrickx', 'Anneke Blok', 'Sylvia Poorta', 'Jacob Derwig', 'Halina Reijn']",Bert Pot,Sander Vos,Fons Merkies,Lifesize Entertainment (USA),['2001'],100 minutes,Netherlands,Dutch,100,,6.2,50,42%,"Zus &amp; Zo shows what three sisters are willing to do to stop their would-be sister-in-law from coming into possession of Paraíso, their beloved family summer home on the Portuguese coast.","Comedy, Fantasy, Romance",Nominated for 1 Oscar. 1 win & 7 nominations total,Paula van der Oest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,The Barbarian Invasions,Denys Arcand,Denys Arcand,"['Daniel Louis', 'Denise Robert']","['Rémy Girard', 'Stéphane Rousseau', 'Dorothée Berryman', 'Louise Portal', 'Marie-Josée Croze', 'Marina Hands']",Guy Dufaux,Isabelle Dedieu,Pierre Aviat,"['Pyramide Distribution', 'Alliance Atlantis']","['21 May 2003 ( Cannes )', '24 September 2003']",99 minutes,,,99,2003-05-21,,,,,,,,,,,5 million,"26,924,656","['Canal+', 'Telefilm Canada']","['Canada', 'France']","['French', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Evil,Mikael Håfström,,"['Ingemar Leijonborg', 'Hans Lönnerheden']","['Andreas Wilson', 'Henrik Lundström', 'Gustaf Skarsgård']",Peter Mokrosinski,Darek Hodor,Francis Shaw,Columbia TriStar,"['16 May 2003 (Cannes)', '26 September 2003 (Sweden)']",113 minutes,Sweden,Swedish,113,2003-05-16,7.7,N/A,,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanatio","Crime, Drama, Horror",11 nominations,"['Hans Gunnarsson', 'Mikael Håfström']",,"['Evil', 'by', 'Jan Guillou']",Moviola,"$3,000,000","$12,469,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,The Twilight Samurai,Yoji Yamada,"['Yoji Yamada', 'Shuhei Fujisawa', 'Yoshitaka Asama']","['Hiroshi Fukazawa', 'Shigehiro Nakagawa', 'Ichirō Yamamoto']","['Hiroyuki Sanada', 'Rie Miyazawa']",,,Isao Tomita,"['Shochiku (Japan)', 'Empire Pictures (United States)']","['November 2, 2002']",129 minutes,Japan,Japanese,129,2002-11-02,,,,,,,,,,,,$10.2 million,"['Eisei Gekijo', 'Hakuhodo', 'Nippon Shuppan Hanbai (Nippan) K.K.', 'Nippon TV', 'Shochiku', 'Sumitomo Corporation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Twin Sisters,Ben Sombogaart,"['Tessa de Loo', 'Marieke van der Pol']","['Hanneke Niens', 'Anton Smit', 'Madelon Veldhuizen']","Thekla Reuten , Nadja Uhl , Ellen Vogel , Gudrun Okras",,,Fons Merkies,RCV Entertainment,['2002'],,Netherlands,,,,5.3,N/A,,A woman flies from Los Angeles to Montreal to investigate the supposed death of her identical twin. What she finds out could get her killed.,Thriller,N/A,,,,,,"$5,145,363",,,"Dutch , German",,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Želary,Ondřej Trojan,"['Květa Legátová', '(novel)', 'Petr Jarchovský']",,"['Anna Geislerová', 'György Cserhalmi']",,,,"Sony Pictures Classics (US) , Falcon (Czech Republic)","September 4, 2003",150 minutes,,,150,2003-09-04,7.6,66,73%,"A nurse is part of the resistance in 1940s Czechoslovakia. She is discovered and must find a place to hide. A patient whose life she saved, from a remote mountain village where time stopped 150 years ago, agrees to hide her as his wi","Drama, Romance, War",Nominated for 1 Oscar. 4 wins & 11 nominations total,,,,,"50,000,000 CZK","43,881,284 CZK",,"['Czech Republic', 'Slovakia']","['Czech', 'Russian', 'German', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,The Sea Inside,Alejandro Amenábar,"['Alejandro Amenábar', 'Mateo Gil']","['Alejandro Amenábar', 'Fernando Bovaira']","['Javier Bardem', 'Belén Rueda', 'Lola Dueñas', 'Mabel Rivera', 'Celso Bugallo']",Javier Aguirresarobe,Alejandro Amenábar,Alejandro Amenábar,"['Warner Sogefilms', '(Spain)', 'UGC Fox Distribution', '(France)', 'Lucky Red (Italy)']",['3 September 2004'],125 minutes,,,125,2004-09-03,,,,,,,,,,,€10 million,$43.7 million,,"['Spain', 'France', 'Italy']","['Spanish', 'Galician', 'Catalan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,As It Is in Heaven,Kay Pollak,"Kay Pollak , Anders Nyberg, Ola Olsson, Carin Pollak, Margaretha Pollak","['Anders Birkeland', 'Göran Lindström']","['Michael Nyqvist', 'Frida Hallgren', 'Helen Sjöholm']",,,,Sonet Film,"['3 September 2004 (Sweden)', '30 November 2006 (Australia)']",132 minutes,Sweden,,132,2004-09-03,7.3,71,85%,"After the death of the Prophet, a man is called to lead his small religious sect as they anxiously await the end of the world they were promised.",Drama,1 win & 1 nomination,,,,,"['SEK', '25,000,000 ≈', 'US$3,700,000']","$18,328,469",,,"['Swedish', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,The Chorus,Christophe Barratier,"['Christophe Barratier', 'Philippe Lopes-Curval']","['Arthur Cohn', 'Jacques Perrin', 'Nicolas Mauvernay']","['Gérard Jugnot', 'François Berléand', 'Kad Merad', 'Jean-Baptiste Maunier']","['Jean-Jacques Bouhon', 'Dominique Gentil', 'Carlo Varini']",Yves Deschamps,Bruno Coulais,"['Pathé Distribution', '(France, United Kingdom and Ireland)', 'Constantin Film', '(Germany and Austria)', 'Vega Film (Switzerland)']",['17 March 2004'],96 minutes,,French,96,2004-03-17,N/A,N/A,,The Chorus (2018) by Dan Starling This cinematic artwork addresses the decline and eventual dismissal of the chorus of ancient Greece from epic drama.,N/A,N/A,,,A Cage of Nightingales,,$5.3 million,$83.6 million,"['Vega Film', 'Banque Populaire Images 4', 'CP Medien AG', 'Canal+', 'Centre National de la Cinématographie (CNC)', 'Dan Valley Film AG', 'France 2 Cinéma', 'Galatée Films', 'Novo Arturo Films', 'Pathé Renn Productions', 'Procirep']","['France', 'Germany', 'Switzerland']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Downfall,Oliver Hirschbiegel,,Bernd Eichinger,"['Bruno Ganz', 'Alexandra Maria Lara', 'Corinna Harfouch', 'Ulrich Matthes', 'Juliane Köhler', 'Heino Ferch', 'Christian Berkel', 'Alexander Held', 'Matthias Habich', 'Thomas Kretschmann']",Rainer Klausmann,Hans Funck,Stephan Zacharias,"['Constantin Film (Germany, Austria)', '01 Distribution', '(Italy)', 'Momentum Pictures', '(United Kingdom)', 'Newmarket Films', '(United States)']","['16 September 2004 (Germany)', '17 September 2004 (Austria)', '1 April 2005 (United Kingdom)', '8 April 2005 (United States)', '21 April 2005 (Australia)']",155 minutes (theatrical version),,German,155,2004-09-16,6.2,N/A,,Players answer trivia questions on top of a skyscraper in a major metropolitan city for $1 million in cash and prizes.,"Game-Show, Reality-TV",N/A,Bernd Eichinger,,"[""Inside Hitler's Bunker by Joachim Fest"", 'Until the Final Hour by Traudl Junge Melissa Müller', 'Traudl Junge', 'Melissa Müller']",Constantin Film,€13.5 million (approx. $15 million),$92.2 million,,"['Germany', 'Italy', 'Austria']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Yesterday,Darrell Roodt,Darrell Roodt,"['Anant Singh', 'Helena Spring']","['Leleti Khumalo', 'Harriet Lenabe']",,,,HBO Films (USA),['3 September 2004'],96 minutes,South Africa,Zulu,96,2004-09-03,6.8,55,63%,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,"Comedy, Fantasy, Music",1 win & 19 nominations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Tsotsi,Gavin Hood,,Peter Fudakowski,Presley Chweneyagae,Lance Gewer,Megan Gill,"['Vusi Mahlasela', 'Mark Kilian', 'Paul Hepker']","['Ster-Kinekor Pictures', 'Momentum Pictures']","['18 August 2005 ( Edinburgh Film Festival )', '23 December 2005 (South Africa)']",95 minutes,,,95,2005-08-18,7.2,70,82%,Six days in the violent life of a young Johannesburg gang leader.,"Crime, Drama",Won 1 Oscar. 23 wins & 18 nominations total,Gavin Hood,,"['Tsotsi', 'by', 'Athol Fugard']",,$3 million,$11.5 million,"['The UK Film & TV Production Company PLC', 'Industrial Development Corporation of South Africa', 'The National Film and Video Foundation of SA', 'Moviworld', 'Tsotsi Films']","['South Africa', 'United Kingdom']","['Setswana', 'Zulu', 'Sesotho', 'Afrikaans', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Don't Tell,Cristina Comencini,"['Cristina Comencini', 'Giulia Calenda', 'Francesca Marciano']","['Marco Chimenz', 'Giovanni Stabilini']","['Giovanna Mezzogiorno', 'Alessio Boni', 'Luigi Lo Cascio']",Fabio Cianchetti,,,Lionsgate Films,['9 September 2005'],120 minutes,Italy,,120,2005-09-09,6.3,35,,Five siblings are left alone all summer when their mom leaves town and the evil babysitter bites the dust.,Comedy,4 nominations,,,,,,,,,"['Italian', 'English']",,,,,,,,,,,,,,,La bestia nel cuore,,,,,,,,,,,,,
254,Merry Christmas,Christian Carion,Christian Carion,"['Christophe Rossignon', 'Benjamin Herrmann']","['Benno Fürmann', 'Guillaume Canet', 'Daniel Brühl', 'Diane Kruger', 'Gary Lewis', 'Alex Ferns']",Walther Vanden Ende,"['Judith Rivière Kawa', 'Andrea Sedlácková']",Philippe Rombi,"['UGC Fox Distribution', '(France)', 'Sony Pictures Classics', '(U.S.)']",['9 November 2005'],116 minutes,,,116,2005-11-09,4.5,N/A,,"Four Italian men are suddenly involved in awkward situations, while they are spending the Christmas holiday, stuck in Amsterdam.",Comedy,N/A,,,,,$22 million,"$17,709,155",,"['France', 'Germany', 'United Kingdom', 'Belgium', 'Romania']","['French', 'English', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Paradise Now,Hany Abu-Assad,"['Hany Abu-Assad', 'Bero Beyer', 'Pierre Hodgson']",Bero Beyer,"['Kais Nashef', 'Ali Suliman', 'Lubna Azabal', 'Hiam Abbass']",Antoine Héberlé,Sander Vos,Jina Sumedi,"['A-Film', '(Netherlands)', 'Constantin Film', '(Germany and Austria)', 'Haut et Court (France)']","February 14, 2005",91 minutes,,,91,2005-02-14,7.4,71,89%,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,"Crime, Drama, Thriller",Nominated for 1 Oscar. 13 wins & 17 nominations total,,,,,,,,"['Netherlands', 'Palestine', 'Israel', 'Germany', 'France']","['Palestinian Arabic', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Sophie Scholl – The Final Days,Marc Rothemund,Fred Breinersdorfer,"['Fred Breinersdorfer', 'Sven Burgemeister', 'Christoph Müller', 'Marc Rothemund']","['Julia Jentsch', 'Fabian Hinrichs']",Martin Langer,Hans Funck,"['Reinhold Heil', 'Johnny Klimek']","['X Verleih AG (Germany)', 'Zeitgeist Films (USA)']","['13 February 2005 ( Berlinale )', '24 February 2005 (Germany)']",117 minutes,Germany,German,117,2005-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
